Date,TYO,F,GM,HMC,STLA
2015-02-25,17.5201,16.51,37.86,33.33,15.19
2015-02-26,17.78,16.38,37.56,33.66,15.47
2015-02-27,17.7526,16.34,37.31,33.14,15.41
2015-03-02,18.0499,16.57,37.61,33.21,15.83
2015-03-03,18.15,16.17,37.8,33.25,15.31
2015-03-04,18.1401,16.03,37.57,33.08,15.5
2015-03-05,18.07,16.11,37.61,33.24,15.59
2015-03-06,18.62,15.93,36.84,33.52,15.22
2015-03-09,18.4001,16.03,37.66,33.46,15.44
2015-03-10,18.1201,15.72,37.55,33.32,15.09
2015-03-11,18.04,15.75,37.78,33.38,15.5
2015-03-12,17.97,16.17,38.43,34.3,15.88
2015-03-13,18.054,16.2,38.05,34.09,16.41
2015-03-16,17.965,16.49,38.58,34.43,16.72
2015-03-17,17.7999,16.39,38.29,34.01,16.42
2015-03-18,17.21,16.46,38.5,34.34,16.26
2015-03-19,17.401,16.34,38.65,33.92,16.26
2015-03-20,17.21,16.48,38.87,34.36,16.38
2015-03-23,17.11,16.57,38.59,34.51,16.27
2015-03-24,16.99,16.56,37.85,34.03,16.56
2015-03-25,17.14,16.18,37.38,33.91,16.32
2015-03-26,17.475,16.01,37.35,33.55,16.08
2015-03-27,17.29,15.98,37.31,33.46,16.42
2015-03-30,17.2625,16.16,37.68,33.67,16.55
2015-03-31,17.11,16.14,37.5,32.76,16.31
2015-04-01,16.9,15.91,36.74,32.71,16.36
2015-04-02,17.03,16.03,36.5,32.97,16.69
2015-04-06,17.0,16.0,36.66,33.91,16.71
2015-04-07,16.95,15.9,35.73,33.76,16.36
2015-04-08,16.941,15.98,36.11,33.81,16.59
2015-04-09,17.178,15.95,36.29,34.08,16.7
2015-04-10,17.17,16.03,36.57,34.66,16.48
2015-04-13,17.09,15.87,36.4,33.62,16.44
2015-04-14,16.9,15.97,36.48,34.19,16.34
2015-04-15,16.88,16.07,36.94,34.61,16.49
2015-04-16,16.82,15.94,37.08,35.06,16.29
2015-04-17,16.8099,15.76,36.64,35.18,16.2
2015-04-20,16.7978,15.91,37.11,35.01,16.02
